num_agents,fault_count,success,duration,total_distance,avg_distance,gini_index,reallocation_time,cost_efficiency,recovery_count,crashed_count,total_bids,bids_per_auction,wasted_attempts,map_coverage,scenario_tag,scenario,trial
8,0,True,283.05,605.1280003314346,75.64100004142932,0.0,0.0,2.265555555555556,0,0,12504,8.0,0,75.0,N8_NoFault,Scalability,1
8,0,True,228.58333333333334,443.87967781089407,55.48495972636176,0.1810344827586207,33.88482142857142,2.2122222222222225,22,1,10984,8.0,1,43.75,N8_NoFault,Scalability,2
8,0,True,153.53333333333333,348.52257854150446,43.56532231768806,0.03804347826086957,0.0,2.166451612903226,0,0,8280,8.0,0,35.9375,N8_NoFault,Scalability,3
8,0,True,318.93333333333334,635.029872568065,79.37873407100813,0.09,0.0,2.3455357142857145,0,0,12968,8.0,0,78.125,N8_NoFault,Scalability,4
8,0,True,498.8833333333333,685.509952853256,85.688744106657,0.37037037037037035,62.897916666666674,2.3266666666666667,48,2,15768,8.0,1,82.8125,N8_NoFault,Scalability,5
8,0,True,328.6,631.9279246719796,78.99099058399744,0.0625,0.0,2.308679245283019,0,0,12792,8.0,0,75.0,N8_NoFault,Scalability,6
8,0,True,343.81666666666666,521.5476918404651,65.19346148005813,0.375,46.69392857142858,2.2532558139534884,30,3,13376,8.0,0,54.6875,N8_NoFault,Scalability,7
8,0,True,206.48333333333332,460.9923716028078,57.624046450350974,0.0,0.0,2.2760000000000007,0,0,10368,8.0,0,50.0,N8_NoFault,Scalability,8
8,0,True,235.65,493.8951989311187,61.73689986638984,0.05555555555555555,0.0,2.2422500000000007,0,0,11192,8.0,0,56.25,N8_NoFault,Scalability,9
8,0,True,159.5,355.66110016072116,44.457637520090145,0.03804347826086957,0.0,2.1803225806451616,0,0,8280,8.0,0,35.9375,N8_NoFault,Scalability,10
8,0,True,48.96666666666667,144.6137461453108,18.07671826816385,0.0,0.0,2.0,0,0,0,0.0,0,0.0,N8_NoFault,Scalability,11
